student_ID,course_ID
123,15
123,16
123,17
123,18
124,2
124,11
124,12
124,15
124,18
125,9
125,14
125,16
125,17
125,18
126,4
126,12
126,13
126,14
126,16
126,17
126,18
127,3
127,11
127,13
127,14
127,15
127,16
127,17
127,18
128,10
128,11
128,13
128,14
128,15
128,16
128,18
129,8
129,9
129,11
129,14
129,16
129,17
129,18
130,13
130,14
130,15
130,16
130,17
130,18
131,14
131,15
131,16
131,17
131,18
132,13
132,17
132,18
133,15
133,16
133,17
133,18
134,2
134,10
134,12
134,16
134,17
134,18
135,1
135,15
135,16
135,17
135,18
136,6
136,15
136,16
136,17
136,18
137,3
137,14
137,17
137,18
138,4
138,8
138,11
138,14
138,16
138,17
138,18
139,10
139,14
139,15
139,16
139,17
139,18
140,5
140,10
140,13
140,14
140,15
140,17
140,18
141,11
141,12
141,13
141,15
141,16
141,17
141,18
142,5
142,13
142,15
142,16
142,17
142,18
143,12
143,16
143,17
144,2
144,6
144,10
144,11
144,13
144,17
144,18
145,12
145,13
145,15
145,16
145,17
145,18
146,4
146,11
146,14
146,16
146,18
147,11
147,13
147,14
147,15
147,16
147,17
147,18
148,11
148,14
148,16
148,17
148,18
149,9
149,12
149,16
149,17
149,18
150,11
150,13
150,15
150,17
150,18
151,1
151,5
151,10
151,13
152,5
152,12
153,5
153,6
153,9
153,14
153,15
153,16
153,17
153,18
154,9
154,11
154,12
154,13
154,15
154,16
154,17
154,18
155,3
155,8
155,13
155,14
155,15
155,16
155,17
156,5
156,12
157,8
157,11
157,17
158,3
158,10
158,11
158,15
158,17
158,18
159,9
159,10
159,15
159,16
159,18
160,5
160,14
160,15
160,16
160,17
160,18
161,3
161,11
161,13
161,15
161,16
161,17
161,18
162,12
162,13
162,14
162,15
162,16
162,17
162,18
163,12
163,13
163,14
163,15
163,16
163,17
163,18
164,8
164,10
164,13
164,14
164,15
164,16
164,17
164,18
165,4
165,16
165,17
165,18
166,12
166,13
166,14
166,16
166,17
166,18
167,8
167,9
167,11
167,12
167,14
167,15
167,17
167,18
168,8
168,10
168,11
168,16
169,12
169,14
169,15
169,16
170,8
170,14
170,15
170,16
170,17
170,18
171,6
171,11
171,12
171,13
171,14
171,15
171,16
171,17
171,18
172,11
172,13
172,14
172,15
172,18
173,6
173,15
173,16
173,17
173,18
174,11
174,14
174,16
174,17
174,18
175,11
175,12
175,17
175,18
176,4
176,12
176,14
176,15
176,16
176,17
176,18
177,11
177,14
178,8
178,12
178,13
178,14
178,15
178,16
178,17
178,18
179,1
179,2
179,3
179,14
179,15
179,16
179,17
179,18
180,4
180,9
180,13
181,5
181,7
181,10
181,12
181,16
181,17
181,18
182,16
182,17
182,18
183,2
183,8
183,11
183,12
183,14
183,15
183,16
183,17
183,18
184,9
184,12
184,16
184,17
184,18
185,14
185,16
185,17
185,18
186,10
186,15
186,16
186,17
187,13
187,15
187,16
187,17
187,18
188,11
188,12
188,14
188,15
188,16
188,17
188,18
189,1
189,2
189,3
189,5
189,7
189,9
190,8
190,10
190,11
190,13
190,15
190,16
191,8
191,11
191,13
191,16
192,2
192,11
192,14
192,17
192,18
193,7
193,12
193,14
193,15
193,16
194,12
194,13
194,15
194,16
194,17
194,18
195,8
195,9
195,13
195,14
195,15
195,16
195,17
195,18
196,7
196,8
196,11
196,16
196,17
196,18
197,4
197,6
197,13
197,14
197,17
197,18
198,11
198,13
198,14
198,17
199,2
199,9
199,13
199,14
199,15
199,16
199,17
199,18
200,4
200,8
200,14
200,17
